,checkpoint,min_attempt,max_attempt,avg_attempt,med_attempt,min_time,max_time,avg_time
0,1,1,4,1.5591397849462365,1.0,0.0,274.1770833333333,17.253487156511355
1,2,1,5,1.2365591397849462,1.0,0.0,218.94583333333333,7.928759057971016
2,3,1,5,1.4946236559139785,1.0,0.0,213.97291666666663,14.023278985507249
3,4,1,4,1.4838709677419355,1.0,0.0,219.98472222222225,17.017617753623195
4,5,1,4,1.3978494623655915,1.0,0.0,219.025,11.969867149758453
5,6,1,5,1.6666666666666667,1.0,0.0,214.91319444444449,19.82663043478261
6,7,1,6,1.3870967741935485,1.0,0.0,218.90069444444444,11.808869263285022
7,8,1,2,1.1397849462365592,1.0,0.0,216.96597222222223,5.773060084541063
8,9,1,4,1.1827956989247312,1.0,0.0,218.01527777777775,6.031514190821257
9,10,1,4,1.7419354838709677,2.0,0.0,220.0361111111111,11.70827331961591
10,11,1,3,1.118279569892473,1.0,0.0,216.98194444444445,4.896014492753623
11,12,1,5,1.6021505376344085,1.0,0.0,220.11041666666668,13.19919987922705
12,13,1,4,1.5806451612903225,1.0,0.0,217.93472222222223,12.101683272946861
13,14,1,4,1.5591397849462365,1.0,0.0,219.75625,9.68041213768116
14,15,1,4,1.5483870967741935,1.0,0.0,251.68819444444443,10.012847222222224
15,16,1,5,1.5161290322580645,1.0,0.0,248.73055555555555,8.829793176328502
16,17,1,4,1.3763440860215055,1.0,0.0,25.78680555555556,4.8404456654456665
17,18,1,3,1.3010752688172043,1.0,0.0,220.90902777777777,5.588217089371982
18,19,1,4,1.3010752688172043,1.0,0.0,220.90833333333333,4.113368055555556
19,20,1,3,1.3978494623655915,1.0,0.0,220.9326388888889,4.37463768115942
20,21,1,4,1.2473118279569892,1.0,0.0,220.9152777777778,3.504649758454107
21,22,1,3,1.2365591397849462,1.0,0.0,229.70347222222225,3.3397795893719797
22,23,1,3,1.1720430107526882,1.0,0.0,221.93472222222223,3.0555253623188405
23,24,1,3,1.1720430107526882,1.0,0.0,220.89444444444445,2.780019625603865
